# This script will generate a ranked white list 
# text of android third party libraries according 
# to the 3rdpartylibs.csv. Libraries information
# in the csv file are obtained from 
# https://github.com/codepath/android_guides/wiki/Must-Have-libraries.
# The rank are based on a score, where,
#    score = 0.15*watch + 0.5*star + 0.35*fork
# For github project, the watch, star and fork 
# are directly obtained. For non-github project, 
# the watch, star and fork are assigned via experience.
#  
# last-modified: 2018/06/14
pkg,project,watch,star,watch
android,AndroidOfficial,9999,99999,9999
java,JavaOfficial,9999,99999,9999
retrofit2,Retrofit2,1582,28307,5492
retrofit,Retrofit,1582,28307,5492
okhttp3,OkHttp3,1603,27092,6288
okhttp,OkHttp,1603,27092,6288
com.github.bumptech.glide,Glide,1031,22049,4321
butterknife,ButterKnife,1130,21316,4177
com.squareup.picasso3,Picasso3,973,15586,3852
com.squareup.picasso,Picasso,973,15586,3852
com.google.gson,Gson,696,12828,2672
com.alibaba.fastjson,FastJson,1211,13902,4205
com.google.common,Guava,2194,24750,5668
com.squareup.leakcanary,LeakCanary,1054,19659,3118
com.squareup.tape2,Tape2,140,2073,270
com.squareup.tape,Tape,140,2073,270
org.greenrobot.eventbus,EventBus,1097,18493,4052
org.parceler,Parceler,86,3303,252
icepick,IcePick,97,3668,203
dagger,Dagger2,548,10917,2398
com.loopj.android.http,AndroidAsyncHttp,844,10257,4341
org.androidannotations,AndroidAnnotations,713,10342,2476
com.facebook.fresco,Fresco,954,14619,3559
me.tatarka.retrolambda,RetroLambda,148,3415,219
io.reactivex.android,RxAndroid,1094,16129,2617
io.reactivex,RxJava,2258,33632,5862
com.facebook.soloader,SoLoader,25,433,63
com.facebook,FacebookAndroidSDK+jcommon,686,5083,2896
com.facebook.shimmer,ShimmerAndroid,173,2789,478
com.nostra13.universalimageloader,AndroidUniversalImageLoader,1448,16147,6459
com.marshalchen.ultimaterecyclerview,UltimateRecyclerView,315,6649,1442
easyadapter.dc.com.library,EasyAdapter,3,32,1
com.birin.easylistviewadapters,EasyListViewAdapters,11,138,37
com.birin.gridlistviewadapters,GridListViewAdapters,14,278,63
com.h6ah4i.android.widget.advrecyclerview,AdvancedRecyclerView,197,4023,772
se.emilsjolander.stickylistheaders,StickyListHeaders,311,5297,1564
com.timehop.stickyheadersrecyclerview,StickyHeadersRecyclerView,112,3293,701
de.halfbit.pinnedsection,PinnedSectionListView,173,2580,870
com.nhaarman.listviewanimations,ListViewAnimations,477,5684,1826
it.gmariotti.cardslib,CardsLib,345,4770,1303
eu.erikw,PullToRefreshListView,75,646,359
com.etiennelawlor.quickreturn.library,QuickReturn,82,1484,301
de.codecrafters.tableview,SortableTableView,40,894,218
com.oanguin.android.component,AndroidComponents,2,16,3
com.gvillani.pinnedlist,PinnedListAndroid,2,65,15
com.poliveira.parallaxrecyclerview,ParallaxRecyclerView,64,1568,299
com.beloo.widget.chipslayoutmanager,ChipsLayoutManager,48,2339,250
com.fivehundredpx.greedolayout,GreedoLayout,70,1345,151
com.mikepenz.itemanimators,ItemAnimators,6,212,46
eu.davidea,FlexibleAdapter,112,2668,425
com.mikepenz.fastadapter,FastAdapter,74,2262,323
github.nisrulz.recyclerviewhelper,RecyclerViewHelper,20,586,58
com.ericliu.asyncexpandablelist,AsyncExpandableList,9,194,50
com.airbnb.epoxy,Epoxy,139,3832,290
com.jfeinstein.jazzyviewpager,JazzyViewPager,194,2646,886
com.prolificinteractive.parallaxpager,Parallaxpager,79,733,141
com.kmshack.newsstand,Android-ParallaxHeaderViewPager,62,1371,361
com.xgc1986.parallaxPagerTransformer,ParallaxPagerTransformer,22,618,102
com.jeremyfeinstein.slidingmenu.lib,SlidingMenu,1062,11011,5507
android.view.ext,AndroidSatelliteMenu,159,1411,704
com.capricorn,ArcMenu,131,1356,641
com.sothree.slidinguppanel,AndroidSlidingUpPannel,368,7684,2114
com.github.pedrovgs,DraggablePannel,140,2857,616
com.mikepenz.materialdrawer,MaterialDrawer,371,9320,1882
co.gofynd.gravityview,GravityView,37,133,33
com.varunest.sparkbutton,SparkButton,23,863,118
com.codetroopers.betterpickers,BetterPickers,134,2699,588
eu.davidea.flipview,FlipView,17,361,60
